site;loc;X, Y
Afleidingskanaal van de Leie;akl ramskapelle;51.261278, 3.308046
Leopoldskanaal;lk ramskapelle;51.251123, 3.340264
Afleidingskanaal van de Leie;akl moerkerke;51.297425, 3.259268
Leopoldskanaal;blinker moerkerke;51.297614, 3.259725
Leopoldskanaal;sk zeebrugge;51.327202, 3.226991
Kanaal Gent-Oostende;brugge;51.209084, 3.128325
IJzer;diksmuide;51.039346, 2.852663
IJzer;schoorbakkebrug;51.099076, 2.822648
IJzer;tervate;51.084235, 2.852638
IJzer;uniebrug;51.127033, 2.802073
IJzer;yserstar;51.134313, 2.760324
Kanaal Nieuwpoort-Plasendale;nieuwpoort-plassendale;51.141897, 2.779851
Kanaal Gent-Oostende;plassendale;51.201052, 3.040050
Kanaal Gent-Oostende;sas slijkens;51.217560, 2.970161
Kanaal Nieuwpoort -Duinkerke;oude veurne vaart;51.122834, 2.750462
Noordede;blauwe sluis;51.223697, 2.989745
Noordede;clemensheule;51.226089, 3.006159
Noordede;maertensas;51.224530, 2.957213
