loc.conductiviteit;loc.debiet;loc.neerslag;distance
Diksmuide IJzer EC Tervaetebrug;Keiem;Sint-Joris;012km
Ijzer EC DWG afw Handzamevaart;Keiem;Sint-Joris;020km
Ijzer EC DWG Tervatebrug;Keiem;Sint-Joris;011km
Nieuwpoort IJzer MPS Uniebrug;Keiem;Sint-Joris;003km
Ijzer EC DWG Uniebrug;Keiem;Sint-Joris;003km
Nieuwpoort Brugsesteenweg Uniebrug;Keiem;Sint-Joris;003km
Nieuwpoort Brugsesteenweg Uniebrug DIEP;Keiem;Sint-Joris;003km
Nieuwpoort Spaarbekken 1m;Keiem;Sint-Joris;002km
Nieuwpoort Spaarbekken Diep;Keiem;Sint-Joris;002km
Nieuwpoort N367 Sluizen;Keiem;Sint-Joris;001km
